,Coach,From,To,Last School,Yrs,G,W,L,W-L%,CREG,CTRN,NCAA,FF,NC
1110,A.M. Foster,1912,1912,Millsaps,1,9,1,8,.111,0,0,,,
1111,Amos Foster,1905,1909,Cincinnati,5,39,30,9,.769,0,0,,,
1112,Bill C. Foster,1973,1997,Virginia Tech,23,668,394,274,.590,1,0,2,0,0
1113,Bill E. Foster,1964,1993,Northwestern,30,820,422,398,.515,1,2,3,1,0
1114,Blue Foster,1943,1949,Miami (OH),7,133,75,58,.564,0,0,0,0,0
1115,Bud Foster,1935,1959,Wisconsin,25,532,265,267,.498,3,0,2,1,1
1116,Dixon Foster,1917,1920,South Carolina,4,57,26,31,.456,0,0,,,
1117,Pat Foster,1981,1999,Nevada,19,569,366,203,.643,5,3,5,0,0
1118,Pop Foster,1913,1913,Yale,1,12,5,7,.417,0,0,,,
1119,Ned Fowler,1982,1996,Stephen F. Austin,10,280,148,132,.529,0,0,0,0,0
1120,Darrell Fox,1917,1925,Toledo,5,52,23,29,.442,0,0,,,
1121,Jim Fox,2015,2016,Appalachian State,2,60,21,39,.350,0,0,0,0,0
1122,Mark Fox,2005,2016,Georgia,12,395,249,146,.630,4,1,5,0,0
1123,Richard Fox,1928,1936,Idaho,9,167,54,113,.323,0,0,,,
1124,E.W. Foy,1975,1977,McNeese State,3,78,52,26,.667,1,0,0,0,0
1125,Jerry Francis,2003,2005,Prairie View,3,84,29,55,.345,1,0,0,0,0
1126,Ralph Francis,1938,1939,Pacific,2,38,11,27,.289,0,0,0,0,0
1127,Bill Franey,1980,1980,Tulsa,1,9,2,7,.222,0,0,0,0,0
1128,Owen Frank,1922,1923,Nebraska,2,35,14,21,.400,0,0,,,
1129,John Frankie,1960,1963,Rice,4,93,39,54,.419,0,0,0,0,0
1130,Fran Fraschilla,1993,2002,New Mexico,9,275,176,99,.640,2,1,3,0,0
1131,Nathaniel Frazier,1986,1989,Morgan State,4,114,44,70,.386,0,0,0,0,0
1132,Ralphus Freed,1902,1902,Muhlenburg,1,11,5,6,.455,0,0,,,
1133,Ewing Freeland,1916,1916,Texas Christian,1,4,1,3,.250,0,0,,,
1134,C.I. Freeman,1903,1903,Purdue,1,8,8,0,1.000,0,0,,,
1135,Doc Freeman,1909,1911,Denison,3,50,32,18,.640,0,0,,,
1136,Dwight Freeman,1991,2007,Norfolk State,9,257,109,148,.424,0,0,0,0,0
1137,Ed Freeman,1920,1920,Brown,1,15,5,10,.333,0,0,,,
1138,James Freeman,1928,1948,Scranton,10,235,184,51,.783,0,0,0,0,0
1139,Allan Freund,1974,1976,Eastern Michigan,3,79,27,52,.342,0,0,0,0,0
1140,George Fricke,1916,1917,Washington (MO),2,36,13,23,.361,0,0,,,
1141,Don Friday,2009,2012,Saint Francis (PA),4,118,32,86,.271,0,0,0,0,0
1142,Burl Friddle,1943,1944,Toledo,2,44,27,17,.614,0,0,0,0,0
1143,Bill Frieder,1981,1997,Arizona State,17,518,321,197,.620,2,0,6,0,0
1144,Gerry Friel,1970,1989,New Hampshire,20,523,188,335,.359,1,0,0,0,0
1145,Jack Friel,1929,1958,Washington State,30,872,495,377,.568,1,0,1,1,0
1146,Les Fries,1932,1933,Seton Hall,2,31,18,13,.581,0,0,,,
1147,Lyman Frimodig,1921,1922,Michigan State,2,44,24,20,.545,0,0,,,
1148,Chris Fuller,1996,2001,Morgan State,6,168,53,115,.315,0,0,0,0,0
1149,R.A. Fuller,1919,1919,Northern Arizona,1,6,4,2,.667,0,0,,,
1150,Tony Fuller,1993,1996,Pepperdine,4,99,35,64,.354,0,0,0,0,0
1151,C. Fulmer,1912,1912,Bucknell,1,16,10,6,.625,0,0,,,
1152,Matt Furjanic,1980,1986,Marist,7,204,109,95,.534,4,3,3,0,0
1153,Roger Gaeckler,1973,1979,Hofstra,7,186,84,102,.452,1,2,2,0,0
1154,Bob Gaillard,1971,1978,San Francisco,8,220,165,55,.750,5,0,5,0,0
1155,Pop Gaines,1980,1982,Mississippi Valley State,3,80,20,60,.250,0,0,0,0,0
1156,Smokey Gaines,1978,1987,San Diego State,10,286,159,127,.556,0,1,2,0,0
1157,Tommy Gaither,1984,1991,Morehead State,8,232,122,110,.526,2,2,0,0,0
1158,Jimmy Gales,1987,1993,North Texas,7,202,84,118,.416,2,1,1,0,0
1159,John Gallagher,2011,2016,Hartford,6,189,78,111,.413,0,0,0,0,0
1160,Richard Gallagher,1947,1947,William & Mary,1,26,14,12,.538,0,0,0,0,0
1161,Taps Gallagher,1932,1965,Niagara,31,726,465,261,.640,6,0,0,0,0
1162,Arthur Gallon,1964,1966,UC-Santa Barbara,3,81,40,41,.494,0,0,0,0,0
1163,John Galloway,1936,1939,Colgate,4,69,37,32,.536,0,0,0,0,0
1164,Gus Ganakas,1970,1976,Michigan State,7,173,89,84,.514,0,0,0,0,0
1165,Eran Ganot,2014,2016,Hawaii,2,39,31,8,.795,1,1,1,0,0
1166,Ron Ganulin,1992,2005,St. Francis (NY),14,394,187,207,.475,2,0,0,0,0
1167,F.H. Gaoton,1915,1917,Virginia Military Institute,3,36,26,10,.722,0,0,,,
1168,George Garber,1948,1949,George Washington,2,52,37,15,.712,0,0,0,0,0
1169,Greg Gard,2016,2016,Wisconsin,1,22,15,7,.682,0,0,1,0,0
1170,Bill Gardiner,1960,1966,Loyola (LA),7,170,74,96,.435,0,0,0,0,0
1171,William Gardiner,1912,1912,Louisville,1,3,0,3,.000,0,0,,,
1172,George Gardner,1931,1933,Southwestern (KS),3,47,19,28,.404,0,0,,,
1173,Jack Gardner,1940,1971,Utah,28,721,486,235,.674,10,0,8,4,0
1174,Jason Gardner,2015,2016,IUPUI,2,63,23,40,.365,0,0,0,0,0
1175,Joedy Gardner,1975,1981,Northern Arizona,7,190,94,96,.495,1,0,0,0,0
1176,Dick Garibaldi,1963,1970,Santa Clara,8,214,137,77,.640,3,0,3,0,0
1177,Mike Garland,2004,2006,Cleveland State,3,83,23,60,.277,0,0,0,0,0
1178,Gary Garner,1982,2006,Southeast Missouri State,16,457,221,236,.484,1,1,1,0,0
1179,John Garrison,1948,1949,Tulsa,2,47,11,36,.234,0,0,0,0,0
1180,Hank Garrity,1924,1925,Wake Forest,2,47,33,14,.702,0,0,,,
1181,Murray Garvin,2013,2016,South Carolina State,4,106,41,65,.387,0,0,0,0,0
1182,Greg Gary,2009,2010,Centenary (LA),2,60,16,44,.267,0,0,0,0,0
1183,Phillip Gary,1997,1998,Chicago State,2,48,6,42,.125,0,0,0,0,0
1184,K.P. Gatchell,1925,1925,Mississippi State,1,23,14,9,.609,0,0,,,
1185,Larry Gatewood,1986,1986,Texas-San Antonio,1,13,3,10,.231,0,0,0,0,0
1186,Pete Gaudet,1981,1995,Duke,3,72,16,56,.222,0,0,0,0,0
1187,Dino Gaudio,1994,2010,Wake Forest,10,284,129,155,.454,0,0,2,0,0
1188,George Gauthier,1917,1920,Michigan State,4,73,38,35,.521,0,0,,,
1189,Dave Gavitt,1968,1979,Providence,12,344,227,117,.660,0,0,5,1,0
1190,Roy Geary,1917,1932,Lehigh,9,145,79,66,.545,0,0,,,
1191,V.M. Geddy,1919,1919,William & Mary,1,9,3,6,.333,0,0,,,
1192,Jayson Gee,2014,2016,Longwood,3,99,29,70,.293,0,0,0,0,0
1193,Elwood Geiges,1918,1918,Temple,1,15,8,7,.533,0,0,,,
1194,Fred George,1952,1954,John Carroll,3,78,39,39,.500,0,0,0,0,0
1195,John Georgen,1910,1910,Indiana,1,13,5,8,.385,0,0,,,
1196,Gerry Gerard,1943,1950,Duke,8,209,131,78,.627,1,2,0,0,0
1197,Ron Gerlufsen,1984,1988,Massachusetts,5,139,55,84,.396,0,0,0,0,0
1198,Bud Getchell,1972,1972,Ball State,1,24,9,15,.375,0,0,0,0,0
1199,Tyler Geving,2010,2016,Portland State,7,214,97,117,.453,0,0,0,0,0
1200,Ray Giacoletti,2001,2016,Drake,10,306,154,152,.503,2,1,2,0,0
1201,John Giannini,1997,2016,La Salle,20,612,309,303,.505,0,0,1,0,0
1202,Gordon Gibbons,1980,1980,South Florida,1,15,2,13,.133,0,0,0,0,0
1203,Bill Gibson,1964,1975,South Florida,12,303,135,168,.446,0,0,0,0,0
1204,Eugene Gibson,1962,1969,Texas Tech,8,192,100,92,.521,1,0,1,0,0
1205,Mel Gibson,1977,1986,North Carolina-Wilmington,10,273,149,124,.546,0,0,0,0,0
1206,A.L. Gildersleeve,1911,1911,Trinity (CT),1,10,2,8,.200,0,0,,,
1207,WIlliam Gildersleeve,1911,1911,St. Lawrence,1,17,13,4,.765,0,0,,,
1208,Josh Giles,1980,1983,Florida A&M,4,112,41,71,.366,0,0,0,0,0
1209,Andrew Gill,1919,1919,Kentucky,1,14,6,8,.429,0,0,,,
1210,Slats Gill,1929,1964,Oregon State,36,992,599,393,.604,5,0,6,2,0
1211,Thomas Gill,1915,1918,North Dakota,4,46,36,10,.783,0,0,,,
1212,Pete Gillen,1986,2005,Virginia,20,613,392,221,.639,6,4,9,0,0
1213,John Gilles,1903,1904,Harvard,2,23,6,17,.261,0,0,,,
1214,Louis Gillesby,1907,1910,Northwestern,4,32,4,28,.125,0,0,,,
1215,Mike Gillespie,2002,2007,Florida A&M,6,184,90,94,.489,0,2,2,0,0
1216,A.A. Gillian,1926,1926,Clemson,1,21,4,17,.190,0,0,,,
1217,Mike Gillian,2008,2013,Longwood,6,188,68,120,.362,0,0,0,0,0
1218,Harry Gilligan,1920,1920,Xavier,1,1,0,1,.000,0,0,,,
1219,Billy Gillispie,2003,2012,Texas Tech,8,256,148,108,.578,1,0,4,0,0
1220,Larry Gillman,1978,1979,East Carolina,2,53,21,32,.396,0,0,0,0,0
1221,H.C. Gilstrap,1943,1945,Texas,3,71,43,28,.606,1,0,1,1,0
1222,Gerry Gimelstob,1982,1985,George Washington,4,113,58,55,.513,0,0,0,0,0
1223,Grey Giovanine,1994,1999,Lamar,6,165,80,85,.485,0,0,0,0,0
1224,Walter Gipe,1910,1910,Butler,1,7,3,4,.429,0,0,,,
1225,Larry Gipson,1992,1996,Toledo,5,141,68,73,.482,0,0,0,0,0
1226,Ross Giudice,1960,1960,San Francisco,1,25,9,16,.360,0,0,0,0,0
1227,David Glascock,1925,1933,Indiana State,4,65,33,32,.508,0,0,,,
1228,Clarence Glass,1921,1923,Bucknell,3,54,29,25,.537,0,0,,,
1229,Larry Glass,1964,1969,Northwestern,6,132,61,71,.462,0,0,0,0,0
1230,Ralph Glaze,1911,1921,Colorado School of Mines,10,113,55,58,.487,0,0,,,
1231,Marshall Glenn,1934,1938,West Virginia,5,107,61,46,.570,1,0,,,
1232,Dan Glines,1967,1971,San Jose State,5,123,43,80,.350,0,0,0,0,0
1233,Jim Goddard,1964,1966,Idaho,3,77,25,52,.325,0,0,0,0,0
1234,Ron Godfrey,1968,1971,Miami (FL),4,104,47,57,.452,0,0,0,0,0
1235,Lou Goetz,1979,1981,Richmond,3,82,38,44,.463,0,0,0,0,0
1236,Earl Goheen,1922,1923,Valparaiso,2,42,30,12,.714,0,0,,,
1237,George Goheen,1907,1910,Franklin,3,31,15,16,.484,0,0,,,
1238,Tom Gola,1969,1970,La Salle,2,50,37,13,.740,0,0,0,0,0
1239,Joe Dan Gold,1966,1974,Mercer,6,149,67,82,.450,0,0,0,0,0
1240,Joe Golding,2014,2016,Abilene Christian,3,93,34,59,.366,0,0,0,0,0
1241,W.L. Golightly,1931,1931,Texas Tech,1,20,11,9,.550,0,0,,,
1242,Bobby Gonzalez,2000,2010,Seton Hall,11,331,195,136,.589,3,2,2,0,0
1243,Harry Good,1944,1954,Nebraska,11,249,121,128,.486,2,0,0,0,0
1244,Max Good,1982,2014,Loyola Marymount,15,441,186,255,.422,0,0,0,0,0
1245,Yancey Goodall,1919,1919,Alabama,1,7,3,3,.500,0,0,,,
1246,Roy Goodland,1932,1932,Indiana State,1,15,10,5,.667,0,0,,,
1247,Fred Goodman,1995,1996,Delaware State,2,56,18,38,.321,0,0,0,0,0
1248,Ed Goorjian,1981,1985,Loyola Marymount,5,136,44,92,.324,0,0,0,0,0
1249,James Gordon,1943,1943,Lehigh,1,15,5,10,.333,0,0,0,0,0
1250,Kid Gore,1926,1926,Massachusetts,1,14,12,2,.857,0,0,,,
1251,Tad Gormley,1922,1923,Louisiana State,2,36,25,11,.694,0,0,,,
1252,Freddie Goss,1982,1985,U.S. International,4,111,15,96,.135,0,0,0,0,0
1253,Joe Gottfried,1979,1981,Southern Illinois,3,81,31,50,.383,0,0,0,0,0
1254,Mark Gottfried,1996,2016,North Carolina State,19,610,386,224,.633,5,2,11,0,0
1255,Bob Gottlieb,1974,1980,Milwaukee,7,188,97,91,.516,0,0,0,0,0
1256,Dennis Grady,1913,1914,Northwestern,2,35,25,10,.714,0,0,,,
1257,Country Graham,1950,1962,Mississippi,13,312,144,168,.462,0,0,0,0,0
1258,Greg Graham,2003,2010,Boise State,8,254,142,112,.559,1,1,1,0,0
1259,Paul Graham,2000,2003,Washington State,4,110,31,79,.282,0,0,0,0,0
1260,Graham,1916,1916,Colorado School of Mines,1,8,0,8,.000,0,0,,,
1261,Anthony Grant,2007,2015,Alabama,9,303,193,110,.637,4,2,3,0,0
1262,Earl Grant,2015,2016,College of Charleston,2,64,26,38,.406,0,0,0,0,0
1263,Michael Grant,2004,2016,Coppin State,4,119,43,76,.361,0,0,0,0,0
1264,Tiny Grant,1978,1991,Colorado State,13,395,275,120,.696,5,3,5,0,0
1265,Jared Grasso,2010,2010,Fordham,1,23,1,22,.043,0,0,0,0,0
1266,Mark Graupe,2010,2010,Dartmouth,1,15,2,13,.133,0,0,0,0,0
1267,Matthew Graves,2014,2016,South Alabama,3,97,37,60,.381,0,0,0,0,0
1268,Tubby Graves,1913,1922,Montana State,6,77,50,27,.649,0,0,,,
1269,Rich Grawer,1983,1992,Saint Louis,10,308,159,149,.516,0,0,0,0,0
1270,Glen Gray,1911,1913,Oberlin,2,24,17,7,.708,0,0,,,
1271,Jack Gray,1937,1951,Texas,12,291,194,97,.667,3,0,2,1,0
1272,John Gray,1895,1895,Drexel,1,9,7,2,.778,0,0,,,
1273,John Grayson,1959,1963,Washington,5,134,78,56,.582,0,0,1,0,0
1274,Murray Greason,1934,1957,Wake Forest,23,528,285,243,.540,1,1,2,0,0
1275,George Grebenstein,1908,1909,Harvard,2,24,5,19,.208,0,0,,,
1276,James Green,1997,2016,Jacksonville State,19,571,256,315,.448,3,1,1,0,0
1277,Jerry Green,1987,2001,Tennessee,11,321,189,132,.589,2,0,5,0,0
1278,Sidney Green,2000,2005,Florida Atlantic,6,175,54,121,.309,0,1,1,0,0
1279,Tom Green,1984,2009,Fairleigh Dickinson,26,758,407,351,.537,4,4,4,0,0
1280,Tommy Green,1997,2001,Southern,5,138,74,64,.536,0,0,0,0,0
1281,Vee Green,1945,1946,Drake,2,50,22,28,.440,0,0,0,0,0
1282,Brad Greenberg,2008,2011,Radford,4,123,55,68,.447,1,1,1,0,0
1283,Seth Greenberg,1991,2012,Virginia Tech,22,676,383,293,.567,2,2,3,0,0
1284,Ronald Greene,1967,1989,Indiana State,16,438,226,212,.516,3,0,0,0,0
1285,Royner Greene,1947,1959,Cornell,13,308,165,143,.536,1,0,1,0,0
1286,Bob Greenwood,1972,1972,Washington State,1,26,11,15,.423,0,0,0,0,0
1287,Andrew Greer,2001,2001,Northern Illinois,1,21,4,17,.190,0,0,0,0,0
1288,Hugh Greer,1947,1963,Connecticut,14,322,228,94,.708,11,0,7,0,0
1289,Herb Gregg,1951,1974,Northern Arizona,6,152,41,111,.270,0,0,0,0,0
1290,Brian Gregory,2004,2016,Georgia Tech,13,428,248,180,.579,1,0,2,0,0
1291,Ed Gregory,1971,1977,Fresno State,7,182,85,97,.467,0,0,0,0,0
1292,Paul Gregory,1948,1955,Mississippi State,8,158,58,100,.367,0,0,0,0,0
1293,Willard Greim,1920,1921,Central Missouri,2,43,39,4,.907,0,0,,,
1294,H.M. Grey,1923,1923,Davidson,1,18,9,9,.500,0,0,,,
1295,Tim Grgurich,1976,1995,Nevada-Las Vegas,6,146,71,75,.486,0,0,0,0,0
1296,Bill Grier,2008,2015,San Diego,8,261,117,144,.448,0,1,1,0,0
1297,John Griffin,1983,1995,Saint Joseph's,9,258,145,113,.562,0,0,0,0,0
1298,John Griffin,1910,1914,Drake,3,26,2,24,.077,0,0,,,
1299,Mike Griffin,1977,1982,Colgate,6,155,61,94,.394,0,0,0,0,0
1300,John Griffith,1906,1920,New Mexico State,15,187,106,81,.567,0,0,,,
1301,John Groce,2009,2016,Illinois,8,279,162,117,.581,0,2,3,0,0
1302,John Grogan,1909,1910,Idaho,2,34,15,19,.441,0,0,,,
1303,Elmer Gross,1950,1954,Penn State,5,120,80,40,.667,0,0,2,1,0
1304,Brandon Grover,1923,1938,Ohio,16,321,192,129,.598,0,0,,,
1305,Dave Grube,1993,1996,Kent State,4,108,45,63,.417,0,0,0,0,0
1306,Al Grushkin,2008,2008,Arkansas State,1,4,1,3,.250,0,0,0,0,0
1307,Art Guedel,1907,1907,Butler,1,6,2,4,.333,0,0,,,
1308,Ivan Guevara,1972,1979,San Jose State,8,216,99,117,.458,0,0,0,0,0
1309,Marcel Guley,1951,1962,Syracuse,12,265,136,129,.513,0,0,1,0,0
1310,Blair Gullion,1936,1959,Washington (MO),18,376,219,157,.582,1,1,0,0,0
1311,Frank Gullum,1919,1920,Ohio,2,20,10,10,.500,0,0,,,
1312,Kenneth Gunning,1949,1951,Wichita State,3,75,26,49,.347,0,0,0,0,0
1313,Bill Guthridge,1998,2000,North Carolina,3,108,80,28,.741,0,1,3,2,0
1314,John Guthrie,1974,1978,Georgia,5,132,46,86,.348,0,0,0,0,0
1315,Jack Guy,1948,1957,Rhode Island,10,227,88,139,.388,0,0,0,0,0
1316,Gus Guydon,1974,1974,Morgan State,1,21,11,10,.524,0,0,0,0,0
1317,Roy Guyer,1923,1923,Connecticut,1,14,8,6,.571,0,0,,,
1318,Jerod Haase,2013,2016,Alabama-Birmingham,4,133,80,53,.602,1,1,1,0,0
1319,A.R. Hackett,1911,1912,Drake,2,15,1,14,.067,0,0,,,
1320,T.D. Hackney,1920,1920,Texas Christian,1,8,1,7,.125,0,0,,,
1321,Rich Haddad,1988,1991,Jacksonville,4,116,41,75,.353,0,0,0,0,0
1322,J.F. Haddow,1913,1914,Penn State,2,23,16,7,.696,0,0,,,
1323,Bud Haerr,1952,1955,Kent State,4,89,37,52,.416,0,0,0,0,0
1324,Ray Haesler,1974,1977,Drexel,4,94,55,39,.585,0,0,0,0,0
1325,Robert Hager,1923,1928,Oregon State,6,168,115,53,.685,0,0,,,
1326,Frank Haggerty,1911,1915,Akron,5,53,29,24,.547,0,0,,,
1327,Thomas Haggerty,1937,1950,Loyola (IL),9,245,175,70,.714,0,0,0,0,0
1328,Tom Haggerty,1952,1953,Loyola (LA),2,56,30,26,.536,0,0,0,0,0
1329,Walter Haggerty,1908,1909,Cornell,2,36,18,18,.500,0,0,,,
1330,Billy Hahn,1987,2004,La Salle,6,178,79,99,.444,0,0,0,0,0
1331,Daniel Hains,1901,1904,Wabash,4,47,22,25,.468,0,0,,,
1332,Robert Haire,1949,1952,Rhode Island,4,99,57,42,.576,1,0,0,0,0
1333,Frank Haith,2005,2016,Tulsa,12,400,248,152,.620,0,1,4,0,0
1334,Wally Halas,1988,1990,Columbia,3,78,18,60,.231,0,0,0,0,0
1335,Walter Halas,1921,1923,Notre Dame,3,64,25,39,.391,0,0,,,
1336,Bruce Hale,1955,1973,Saint Mary's (CA),16,410,246,164,.600,0,0,1,0,0
1337,Goat Hale,1934,1945,Mississippi,4,78,43,35,.551,0,0,0,0,0
1338,Jerry Hale,1975,1977,Oral Roberts,3,82,61,21,.744,0,0,0,0,0
1339,Pat Haley,1972,1976,Bowling Green State,5,131,62,69,.473,0,0,0,0,0
1340,David Hall,1908,1910,Washington,3,33,23,10,.697,0,0,,,
1341,Joe B. Hall,1962,1985,Kentucky,16,463,334,129,.721,8,1,10,3,1
1342,Kirkland Hall,1982,1984,Maryland-Eastern Shore,3,83,23,60,.277,0,0,0,0,0
1343,Walter Hall,1912,1912,Southern California,1,14,9,5,.643,0,0,,,
1344,Jim Hallahan,1979,1982,East Tennessee State,4,110,57,53,.518,0,0,0,0,0
1345,Bob Hallberg,1985,1996,Illinois-Chicago,12,345,182,163,.528,0,0,0,0,0
1346,Jim Haller,1977,1985,Baylor,9,232,102,130,.440,0,0,0,0,0
1347,John Halliday,1933,1933,Cincinnati,1,18,9,9,.500,0,0,,,
1348,Walter Hambrick,1959,1959,South Carolina,1,24,4,20,.167,0,0,0,0,0
1349,Bob Hamilton,1977,1980,Navy,4,101,54,47,.535,0,0,0,0,0
1350,Ed Hamilton,1904,1909,Vanderbilt,2,22,17,5,.773,0,0,,,
1351,Leonard Hamilton,1987,2016,Florida State,28,875,478,397,.546,1,1,7,0,0
1352,Scott Hamilton,1951,1952,Washington & Lee,2,52,14,38,.269,0,0,0,0,0
1353,W.O. Hamilton,1910,1919,Kansas,10,184,125,59,.679,5,0,,,
1354,Brian Hammel,1992,2001,Northern Illinois,10,255,117,138,.459,0,1,1,0,0
1355,George Hammer,1911,1911,Saint Mary's (CA),1,3,2,1,.667,0,0,,,
1356,Charles Hammett,1912,1916,Allegheny,4,50,33,16,.673,0,0,,,
1357,Walt Hammond,1914,1919,Colgate,6,107,65,42,.607,0,0,,,
1358,John Hancock,1944,1944,Northern Colorado,1,14,1,13,.071,0,0,0,0,0
1359,Jim Haney,1979,1983,Oregon,5,135,53,82,.393,0,0,0,0,0
1360,Mel Hankinson,1985,2002,Liberty,7,198,74,124,.374,0,0,0,0,0
1361,Mike Hanks,1982,1987,South Alabama,6,172,91,81,.529,0,0,0,0,0
1362,Edward Hanrahan,1910,1920,Manhattan,10,146,74,72,.507,0,0,,,
1363,Derrin Hansen,2013,2016,Nebraska-Omaha,4,124,58,66,.468,0,0,0,0,0
1364,Harold Hansen,1925,1926,Georgia Tech,2,33,10,23,.303,0,0,,,
1365,Paul Hansen,1974,1986,Oklahoma State,13,357,189,168,.529,0,1,1,0,0
1366,Carl Hanson,1914,1914,Tulane,1,12,8,4,.667,0,0,,,
1367,George Hanson,1971,1971,Minnesota,1,24,11,13,.458,0,0,0,0,0
1368,Paul Harbrecht,1923,1923,Detroit Mercy,1,16,9,7,.563,0,0,,,
1369,Al Harden,1973,1977,Denver,5,131,61,70,.466,0,0,0,0,0
1370,Jim Harding,1958,1973,Detroit Mercy,6,153,91,62,.595,1,0,2,0,0
1371,W. Hardman,1907,1925,Union (NY),7,107,63,44,.589,0,0,,,
1372,Walter Hardy,1914,1916,Detroit Mercy,3,27,16,11,.593,0,0,,,
1373,Walter Hargesheimer,1947,1947,Massachusetts,1,7,0,7,.000,0,0,0,0,0
1374,H.W. Hargiss,1919,1920,Oregon State,2,35,10,25,.286,0,0,,,
1375,Harry Haring,1916,1918,New York University,3,46,22,24,.478,0,0,,,
1376,Glen Harmeson,1935,1937,Lehigh,3,41,14,27,.341,0,0,,,
1377,John Harmon,1925,1935,Boston University,7,104,64,40,.615,0,0,,,
1378,Robert Harmon,1920,1921,Santa Clara,2,13,4,9,.308,0,0,,,
1379,Don Harnum,1972,2005,Rider,13,357,196,161,.549,2,0,0,0,0
1380,Bruce Haroldson,1979,1983,Montana State,5,135,66,69,.489,0,0,0,0,0
1381,Dennis Harp,1989,1990,Hardin-Simmons,2,54,17,37,.315,0,0,0,0,0
1382,Dick Harp,1957,1964,Kansas,8,203,121,82,.596,2,0,2,1,0
1383,Jesse Harper,1911,1918,Notre Dame,8,96,67,29,.698,0,0,,,
1384,Ray Harper,2012,2016,Western Kentucky,5,153,89,64,.582,0,2,2,0,0
1385,Smokey Harper,1944,1944,Vanderbilt,1,15,12,3,.800,0,0,0,0,0
1386,Bill Harrell,1970,1974,Morehead State,5,127,68,59,.535,2,0,0,0,0
1387,Frank Harrell,1989,1998,Tennessee Tech,10,282,128,154,.454,0,0,0,0,0
1388,Jim Harrick,1992,1992,San Diego State,1,7,0,7,.000,0,0,0,0,0
